ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,MA30,VWAP
600519.SH,20240102,1715.0,1718.19,1678.1,1685.01,1726.0,-40.99,-2.3749,32156.44,5440082.548,,,,,169.17552278797032
600519.SH,20240103,1681.11,1695.22,1676.33,1694.0,1685.01,8.99,0.5335,20229.29,3411400.667,,,,,168.63669792662026
